cik,years_present,years_present_count,year_2016_present,year_2017_present,year_2018_present,year_2019_present,year_2020_present,year_2021_present,year_2022_present,year_2023_present,year_2024_present,year_2025_present
0001865191,"2022,2023",2,False,False,False,False,False,False,True,True,False,False
0001865468,"2022,2023",2,False,False,False,False,False,False,True,True,False,False
0001865631,"2022,2023,2024,2025",4,False,False,False,False,False,False,True,True,True,True
0001865697,2024,1,False,False,False,False,False,False,False,False,True,False
0001865701,"2022,2023",2,False,False,False,False,False,False,True,True,False,False
0001865782,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001865975,"2022,2023",2,False,False,False,False,False,False,True,True,False,False
0001866368,"2022,2023,2024,2025",4,False,False,False,False,False,False,True,True,True,True
0001866390,2023,1,False,False,False,False,False,False,False,True,False,False
0001866493,"2023,2025",2,False,False,False,False,False,False,False,True,False,True
0001866550,"2021,2022,2023,2024",4,False,False,False,False,False,True,True,True,True,False
0001866581,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001866633,"2022,2023,2024,2025",4,False,False,False,False,False,False,True,True,True,True
0001866692,"2021,2022,2023,2024,2025",5,False,False,False,False,False,True,True,True,True,True
0001866757,"2021,2022,2023,2024,2025",5,False,False,False,False,False,True,True,True,True,True
0001866816,"2022,2023,2024,2025",4,False,False,False,False,False,False,True,True,True,True
0001866838,"2022,2023,2024,2025",4,False,False,False,False,False,False,True,True,True,True
0001867066,2025,1,False,False,False,False,False,False,False,False,False,True
