cik,years_present,years_present_count,year_2016_present,year_2017_present,year_2018_present,year_2019_present,year_2020_present,year_2021_present,year_2022_present,year_2023_present,year_2024_present,year_2025_present
0001935092,"2023,2024,2025",3,False,False,False,False,False,False,False,True,True,True
0001935979,"2022,2023",2,False,False,False,False,False,False,True,True,False,False
0001936224,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001936255,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001936258,2025,1,False,False,False,False,False,False,False,False,False,True
0001936737,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001937096,2023,1,False,False,False,False,False,False,False,True,False,False
0001937926,2025,1,False,False,False,False,False,False,False,False,False,True
0001937985,2025,1,False,False,False,False,False,False,False,False,False,True
0001937987,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001938109,"2023,2024,2025",3,False,False,False,False,False,False,False,True,True,True
0001938338,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001939365,2024,1,False,False,False,False,False,False,False,False,True,False
0001939433,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001940177,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001941029,2025,1,False,False,False,False,False,False,False,False,False,True
0001942599,"2023,2024,2025",3,False,False,False,False,False,False,False,True,True,True
0001943289,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001943896,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001944048,"2023,2024,2025",3,False,False,False,False,False,False,False,True,True,True
0001944366,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001944831,2025,1,False,False,False,False,False,False,False,False,False,True
0001945422,2024,1,False,False,False,False,False,False,False,False,True,False
0001945619,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001946021,"2023,2024,2025",3,False,False,False,False,False,False,False,True,True,True
0001946375,2025,1,False,False,False,False,False,False,False,False,False,True
0001946573,2025,1,False,False,False,False,False,False,False,False,False,True
0001947210,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001947861,2024,1,False,False,False,False,False,False,False,False,True,False
0001948056,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001948175,"2023,2024,2025",3,False,False,False,False,False,False,False,True,True,True
0001948368,2025,1,False,False,False,False,False,False,False,False,False,True
0001948455,2025,1,False,False,False,False,False,False,False,False,False,True
0001949543,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001949864,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001950140,2025,1,False,False,False,False,False,False,False,False,False,True
0001950141,2025,1,False,False,False,False,False,False,False,False,False,True
0001950572,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001950803,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001950976,2025,1,False,False,False,False,False,False,False,False,False,True
0001952853,2025,1,False,False,False,False,False,False,False,False,False,True
0001952976,2025,1,False,False,False,False,False,False,False,False,False,True
0001953926,2025,1,False,False,False,False,False,False,False,False,False,True
0001954360,2024,1,False,False,False,False,False,False,False,False,True,False
0001955010,2025,1,False,False,False,False,False,False,False,False,False,True
0001955520,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001956055,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001956955,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001957662,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001957845,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001958086,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001958140,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001958501,2025,1,False,False,False,False,False,False,False,False,False,True
0001958777,2025,1,False,False,False,False,False,False,False,False,False,True
0001959023,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001959472,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001959568,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001959604,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001959961,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001960262,"2023,2024,2025",3,False,False,False,False,False,False,False,True,True,True
0001960847,2025,1,False,False,False,False,False,False,False,False,False,True
0001961629,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001961847,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001962918,2025,1,False,False,False,False,False,False,False,False,False,True
0001963088,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001963685,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001964738,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001964789,"2023,2024,2025",3,False,False,False,False,False,False,False,True,True,True
0001964979,"2023,2024,2025",3,False,False,False,False,False,False,False,True,True,True
0001965040,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001965934,2025,1,False,False,False,False,False,False,False,False,False,True
0001966002,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001966434,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001966494,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001966734,"2023,2024",2,False,False,False,False,False,False,False,True,True,False
0001967649,2025,1,False,False,False,False,False,False,False,False,False,True
0001967945,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001968487,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001968915,2025,1,False,False,False,False,False,False,False,False,False,True
0001969475,2024,1,False,False,False,False,False,False,False,False,True,False
0001970622,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001970781,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001971213,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001971381,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001971532,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001972529,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001972920,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001973266,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001973476,2025,1,False,False,False,False,False,False,False,False,False,True
0001974138,2025,1,False,False,False,False,False,False,False,False,False,True
0001974587,2024,1,False,False,False,False,False,False,False,False,True,False
0001974640,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001974793,"2023,2024,2025",3,False,False,False,False,False,False,False,True,True,True
0001975736,2025,1,False,False,False,False,False,False,False,False,False,True
0001975931,2023,1,False,False,False,False,False,False,False,True,False,False
0001976336,2025,1,False,False,False,False,False,False,False,False,False,True
0001976663,"2023,2024,2025",3,False,False,False,False,False,False,False,True,True,True
0001976719,2025,1,False,False,False,False,False,False,False,False,False,True
0001976923,2024,1,False,False,False,False,False,False,False,False,True,False
0001976927,2025,1,False,False,False,False,False,False,False,False,False,True
0001977837,"2023,2024,2025",3,False,False,False,False,False,False,False,True,True,True
0001978111,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001979005,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001979306,2025,1,False,False,False,False,False,False,False,False,False,True
0001979330,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001979748,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001979859,2025,1,False,False,False,False,False,False,False,False,False,True
0001980295,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001981535,2025,1,False,False,False,False,False,False,False,False,False,True
0001981599,2025,1,False,False,False,False,False,False,False,False,False,True
0001981769,2025,1,False,False,False,False,False,False,False,False,False,True
0001981792,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001982178,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001982518,2025,1,False,False,False,False,False,False,False,False,False,True
0001982701,2025,1,False,False,False,False,False,False,False,False,False,True
0001983514,2025,1,False,False,False,False,False,False,False,False,False,True
0001983736,"2023,2024,2025",3,False,False,False,False,False,False,False,True,True,True
0001984060,2025,1,False,False,False,False,False,False,False,False,False,True
0001984086,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001984246,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001985554,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001985684,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001986395,2025,1,False,False,False,False,False,False,False,False,False,True
0001987221,2025,1,False,False,False,False,False,False,False,False,False,True
0001987419,2025,1,False,False,False,False,False,False,False,False,False,True
0001987731,2025,1,False,False,False,False,False,False,False,False,False,True
0001988494,2025,1,False,False,False,False,False,False,False,False,False,True
0001989817,2025,1,False,False,False,False,False,False,False,False,False,True
0001990354,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001991192,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001991524,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001991792,2025,1,False,False,False,False,False,False,False,False,False,True
0001992084,2025,1,False,False,False,False,False,False,False,False,False,True
0001992243,2025,1,False,False,False,False,False,False,False,False,False,True
0001992508,2025,1,False,False,False,False,False,False,False,False,False,True
0001993004,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001994342,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001994624,2025,1,False,False,False,False,False,False,False,False,False,True
0001994702,2025,1,False,False,False,False,False,False,False,False,False,True
0001994754,2025,1,False,False,False,False,False,False,False,False,False,True
0001995500,2025,1,False,False,False,False,False,False,False,False,False,True
0001995807,2025,1,False,False,False,False,False,False,False,False,False,True
0001995920,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001996001,2025,1,False,False,False,False,False,False,False,False,False,True
0001996192,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001996810,2025,1,False,False,False,False,False,False,False,False,False,True
0001996862,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001997652,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001997859,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001998392,2025,1,False,False,False,False,False,False,False,False,False,True
0001999480,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001999538,2025,1,False,False,False,False,False,False,False,False,False,True
0002000597,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0002000640,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0002000762,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0002001557,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0002002473,2025,1,False,False,False,False,False,False,False,False,False,True
0002005951,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0002006016,2025,1,False,False,False,False,False,False,False,False,False,True
0002006370,2025,1,False,False,False,False,False,False,False,False,False,True
0002006440,2025,1,False,False,False,False,False,False,False,False,False,True
0002007596,2025,1,False,False,False,False,False,False,False,False,False,True
0002007855,2025,1,False,False,False,False,False,False,False,False,False,True
0002008861,2025,1,False,False,False,False,False,False,False,False,False,True
0002009312,2025,1,False,False,False,False,False,False,False,False,False,True
0002010653,2025,1,False,False,False,False,False,False,False,False,False,True
0002010788,2025,1,False,False,False,False,False,False,False,False,False,True
0002010930,2025,1,False,False,False,False,False,False,False,False,False,True
0002011134,2025,1,False,False,False,False,False,False,False,False,False,True
0002011208,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0002011286,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0002011641,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0002012265,2025,1,False,False,False,False,False,False,False,False,False,True
0002012383,2025,1,False,False,False,False,False,False,False,False,False,True
0002012481,2025,1,False,False,False,False,False,False,False,False,False,True
0002012593,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0002012807,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0002012839,2025,1,False,False,False,False,False,False,False,False,False,True
0002013639,2025,1,False,False,False,False,False,False,False,False,False,True
0002013744,2025,1,False,False,False,False,False,False,False,False,False,True
0002013745,2025,1,False,False,False,False,False,False,False,False,False,True
0002013807,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0002013825,2025,1,False,False,False,False,False,False,False,False,False,True
0002014596,2025,1,False,False,False,False,False,False,False,False,False,True
0002014982,2025,1,False,False,False,False,False,False,False,False,False,True
0002015845,2025,1,False,False,False,False,False,False,False,False,False,True
0002016167,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0002016420,2025,1,False,False,False,False,False,False,False,False,False,True
0002017206,2025,1,False,False,False,False,False,False,False,False,False,True
0002017758,2025,1,False,False,False,False,False,False,False,False,False,True
0002017898,2025,1,False,False,False,False,False,False,False,False,False,True
0002018064,2025,1,False,False,False,False,False,False,False,False,False,True
0002018145,2025,1,False,False,False,False,False,False,False,False,False,True
0002019505,2025,1,False,False,False,False,False,False,False,False,False,True
0002020017,2025,1,False,False,False,False,False,False,False,False,False,True
0002020385,2025,1,False,False,False,False,False,False,False,False,False,True
0002020919,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0002020987,2025,1,False,False,False,False,False,False,False,False,False,True
0002022416,2025,1,False,False,False,False,False,False,False,False,False,True
0002022503,2025,1,False,False,False,False,False,False,False,False,False,True
0002022626,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0002022685,2025,1,False,False,False,False,False,False,False,False,False,True
0002023106,2025,1,False,False,False,False,False,False,False,False,False,True
0002023554,2025,1,False,False,False,False,False,False,False,False,False,True
0002023658,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0002023730,2025,1,False,False,False,False,False,False,False,False,False,True
0002024203,2025,1,False,False,False,False,False,False,False,False,False,True
0002024274,2025,1,False,False,False,False,False,False,False,False,False,True
0002024306,2025,1,False,False,False,False,False,False,False,False,False,True
0002024812,2025,1,False,False,False,False,False,False,False,False,False,True
0002025341,2025,1,False,False,False,False,False,False,False,False,False,True
0002025410,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0002025878,2025,1,False,False,False,False,False,False,False,False,False,True
0002026353,2025,1,False,False,False,False,False,False,False,False,False,True
0002027317,2025,1,False,False,False,False,False,False,False,False,False,True
0002028293,2025,1,False,False,False,False,False,False,False,False,False,True
0002028336,2025,1,False,False,False,False,False,False,False,False,False,True
0002028355,2025,1,False,False,False,False,False,False,False,False,False,True
0002028516,2025,1,False,False,False,False,False,False,False,False,False,True
0002028614,2025,1,False,False,False,False,False,False,False,False,False,True
0002028686,2025,1,False,False,False,False,False,False,False,False,False,True
0002028699,2025,1,False,False,False,False,False,False,False,False,False,True
0002028707,2025,1,False,False,False,False,False,False,False,False,False,True
0002029023,2025,1,False,False,False,False,False,False,False,False,False,True
0002029118,2025,1,False,False,False,False,False,False,False,False,False,True
0002029492,2025,1,False,False,False,False,False,False,False,False,False,True
0002029769,2025,1,False,False,False,False,False,False,False,False,False,True
0002030476,2025,1,False,False,False,False,False,False,False,False,False,True
0002030482,2025,1,False,False,False,False,False,False,False,False,False,True
0002030522,2025,1,False,False,False,False,False,False,False,False,False,True
0002030763,2025,1,False,False,False,False,False,False,False,False,False,True
0002030772,2025,1,False,False,False,False,False,False,False,False,False,True
0002030781,2025,1,False,False,False,False,False,False,False,False,False,True
0002030829,2025,1,False,False,False,False,False,False,False,False,False,True
0002030954,2025,1,False,False,False,False,False,False,False,False,False,True
0002031283,2025,1,False,False,False,False,False,False,False,False,False,True
0002031750,2025,1,False,False,False,False,False,False,False,False,False,True
