cik,name,name_clean,ticker,gvkey,sic,name_source
0000012239,DOMINARI HOLDINGS INC,dominari,SPEX,18738,6282.0,crosswalk
0000012659,BLOCK H & R INC,block h r,HRB,2269,7200.0,crosswalk
0000012927,BOEING CO,boeing,BA,2285,3721.0,crosswalk
0000013156,GALAXY GAMING INC,galaxy gaming,GLXZ,183109,3990.0,crosswalk
0000013372,NSTAR ELECTRIC CO,nstar electric,,115567,4911.0,crosswalk
0000014177,BRIDGFORD FOODS CORP,bridgford foods,BRID,2390,2013.0,crosswalk
0000014272,BRISTOL-MYERS SQUIBB CO,bristolmyers squibb,BMY,2403,2834.0,crosswalk
0000014693,BROWN FORMAN CORP,brown forman,BFB,2435,2085.0,crosswalk
0000014707,CALERES INC,caleres,BWS,2436,5661.0,crosswalk
0000014846,BRT APARTMENTS CORP,brt apartments,BRT,1949,6798.0,crosswalk
0000014930,BRUNSWICK CORP,brunswick,BC,2444,3510.0,crosswalk
0000015357,CHASE GENERAL CORP,chase general,,154984,2060.0,crosswalk
0000015615,MASTEC INC,mastec,MTZ,2497,1623.0,crosswalk
0000015847,BUTLER NATIONAL CORP,butler national,BUKS,2519,8741.0,crosswalk
0000016040,CABOT CORP,cabot,CBT,2593,2890.0,crosswalk
0000016058,CACI INTL INC  -CL A,caci intl inc cl a,CACI,2596,7373.0,crosswalk
0000016160,CAL-MAINE FOODS INC,calmaine foods,CALM,64275,200.0,crosswalk
0000016732,CAMPBELL'S CO (THE),campbells co the,CPB,2663,2030.0,crosswalk
0000016875,CANADIAN PAC KANSAS CITY LTD,canadian pac kansas city,,2698,4011.0,crosswalk
0000016918,CONSTELLATION BRANDS,constellation brands,STZ,2710,2082.0,crosswalk
0000017313,CAPITAL SOUTHWEST CORP,capital southwest,CSWC,20029,6797.0,crosswalk
0000017797,DUKE ENERGY PROGRESS INC,duke energy progress,,144848,4911.0,crosswalk
0000017843,CARPENTER TECHNOLOGY CORP,carpenter technology,CRS,2787,3312.0,crosswalk
0000018230,CATERPILLAR INC,caterpillar,CAT,2817,3531.0,crosswalk
0000018255,CATO CORP  -CL A,cato corp cl a,CATO,2818,5621.0,crosswalk
0000018349,SYNOVUS FINANCIAL CORP,synovus financial,SNV,13041,6020.0,crosswalk
0000018498,GENESCO INC,genesco,GCO,5109,5661.0,crosswalk
0000018654,AMEREN ILLINOIS CO,ameren illinois,CIP,24868,4931.0,crosswalk
0000018672,CLECO POWER LLC,cleco power,,145268,4911.0,crosswalk
0000018926,LUMEN TECHNOLOGIES INC,lumen technologies,CTL,2884,4813.0,crosswalk
0000019584,CHEMED CORP,chemed,CHE,2960,8082.0,crosswalk
0000019617,JPMORGAN CHASE & CO,jpmorgan chase,JPM,2968,6020.0,crosswalk
0000019745,CHESAPEAKE UTILITIES CORP,chesapeake utilities,CPK,2986,4923.0,crosswalk
0000019871,CHICAGO RIVET & MACHINE CO,chicago rivet machine,CVR,2999,3452.0,crosswalk
0000020212,CHURCHILL DOWNS INC,churchill downs,CHDN,3028,7990.0,crosswalk
0000020286,CINCINNATI FINANCIAL CORP,cincinnati financial,CINF,14824,6331.0,crosswalk
0000020290,DUKE ENERGY OHIO INC,duke energy ohio,,3039,4931.0,crosswalk
0000020520,FRONTIER COMMUNIC PARENT INC,frontier communic parent,FTR,135484,4813.0,crosswalk
0000020639,AMBASE CORP,ambase,ABCP,24010,9995.0,crosswalk
0000020947,CLEVELAND ELECTRIC ILLUM,cleveland electric illum,CEI,12564,4911.0,crosswalk
0000021076,CLOROX CO/DE,clorox code,CLX,3121,2842.0,crosswalk
0000021175,CNA FINANCIAL CORP,cna financial,CNA,2558,6331.0,crosswalk
0000021344,COCA-COLA CO,cocacola,KO,3144,2086.0,crosswalk
0000021535,COHU INC,cohu,COHU,3158,3825.0,crosswalk
0000021665,COLGATE-PALMOLIVE CO,colgatepalmolive,CL,3170,2844.0,crosswalk
0000022356,COMMERCE BANCSHARES INC,commerce bancshares,CBSH,3238,6020.0,crosswalk
0000022444,COMMERCIAL METALS,commercial metals,CMC,3246,3312.0,crosswalk
0000022606,COMMONWEALTH EDISON CO,commonwealth edison,,31596,4911.0,crosswalk
0000022701,SUNATION ENERGY INC,sunation energy,JCS,41076,3620.0,crosswalk
0000022767,TEXAS NEW MEXICO POWER CO,texas new mexico power,,10502,4911.0,crosswalk
0000023194,COMSTOCK RESOURCES INC,comstock resources,CRK,34010,1311.0,crosswalk
0000023197,COMTECH TELECOMMUN,comtech telecommun,CMTL,3358,3663.0,crosswalk
0000023217,CONAGRA BRANDS INC,conagra brands,CAG,3362,2000.0,crosswalk
0000023426,CONNECTICUT LIGHT & POWER CO,connecticut light power,CLP,3392,4911.0,crosswalk
0000023632,CONSOLIDATED EDISON CO OF NY,consolidated edison co of ny,,105999,4931.0,crosswalk
0000023795,CTO REALTY GROWTH INC,cto realty growth,CTO,3429,6798.0,crosswalk
0000024090,CITIZENS INC,citizens,CIA,16775,6311.0,crosswalk
0000024545,MOLSON COORS BEVERAGE CO,molson coors beverage,TAP,3505,2082.0,crosswalk
0000024741,CORNING INC,corning,GLW,3532,3357.0,crosswalk
0000025232,COUSINS PROPERTIES INC,cousins properties,CUZ,3562,6798.0,crosswalk
0000025445,CRANE NXT CO,crane nxt,CR,42284,3580.0,crosswalk
0000025475,CRAWFORD & CO,crawford,CRDA,3581,6411.0,crosswalk
0000025598,ONEMAIN FINANCE CORP,onemain finance,,3591,6141.0,crosswalk
0000025743,THERAPEUTICSMD INC,therapeuticsmd,TXMD,183322,2834.0,crosswalk
0000025895,CROWN CRAFTS INC,crown crafts,CRWS,3622,2211.0,crosswalk
0000026058,CTS CORP,cts,CTS,2577,3670.0,crosswalk
