cik,year,form,filename,path
1004702,2021,10-K,20210301_10-K_edgar_data_1004702_0001004702-21-000026.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2021/QTR1/20210301_10-K_edgar_data_1004702_0001004702-21-000026.txt
1004702,2022,10-K,20220228_10-K_edgar_data_1004702_0001004702-22-000022.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2022/QTR1/20220228_10-K_edgar_data_1004702_0001004702-22-000022.txt
1004702,2023,10-K,20230224_10-K_edgar_data_1004702_0001004702-23-000017.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2023/QTR1/20230224_10-K_edgar_data_1004702_0001004702-23-000017.txt
1004702,2024,10-K,20240223_10-K_edgar_data_1004702_0001004702-24-000011.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2024/QTR1/20240223_10-K_edgar_data_1004702_0001004702-24-000011.txt
1020710,2021,10-K,20210318_10-K_edgar_data_1020710_0001020710-21-000026.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2021/QTR1/20210318_10-K_edgar_data_1020710_0001020710-21-000026.txt
1020710,2022,10-K,20220405_10-K_edgar_data_1020710_0001020710-22-000033.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2022/QTR2/20220405_10-K_edgar_data_1020710_0001020710-22-000033.txt
1020710,2023,10-K,20230417_10-K_edgar_data_1020710_0001020710-23-000044.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2023/QTR2/20230417_10-K_edgar_data_1020710_0001020710-23-000044.txt
1020710,2024,10-K,20240311_10-K_edgar_data_1020710_0001020710-24-000026.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2024/QTR1/20240311_10-K_edgar_data_1020710_0001020710-24-000026.txt
1021860,2021,10-K,20210212_10-K_edgar_data_1021860_0001564590-21-005708.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2021/QTR1/20210212_10-K_edgar_data_1021860_0001564590-21-005708.txt
1021860,2022,10-K,20220211_10-K_edgar_data_1021860_0001564590-22-004755.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2022/QTR1/20220211_10-K_edgar_data_1021860_0001564590-22-004755.txt
1021860,2023,10-K,20230214_10-K_edgar_data_1021860_0000950170-23-002767.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2023/QTR1/20230214_10-K_edgar_data_1021860_0000950170-23-002767.txt
1021860,2024,10-K,20240214_10-K_edgar_data_1021860_0000950170-24-015145.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2024/QTR1/20240214_10-K_edgar_data_1021860_0000950170-24-015145.txt
1023994,2021,10-K,20210415_10-K_edgar_data_1023994_0001213900-21-021736.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2021/QTR2/20210415_10-K_edgar_data_1023994_0001213900-21-021736.txt
1023994,2022,10-K,20220418_10-K_edgar_data_1023994_0001213900-22-020226.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2022/QTR2/20220418_10-K_edgar_data_1023994_0001213900-22-020226.txt
1023994,2023,10-K,20230331_10-K_edgar_data_1023994_0001213900-23-024927.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2023/QTR1/20230331_10-K_edgar_data_1023994_0001213900-23-024927.txt
1023994,2024,10-K,20240507_10-K_edgar_data_1023994_0001213900-24-040541.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2024/QTR2/20240507_10-K_edgar_data_1023994_0001213900-24-040541.txt
1026214,2021,10-K,20210211_10-K_edgar_data_1026214_0001026214-21-000033.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2021/QTR1/20210211_10-K_edgar_data_1026214_0001026214-21-000033.txt
1026214,2022,10-K,20220210_10-K_edgar_data_1026214_0001026214-22-000031.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2022/QTR1/20220210_10-K_edgar_data_1026214_0001026214-22-000031.txt
1026214,2023,10-K,20230222_10-K_edgar_data_1026214_0001026214-23-000037.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2023/QTR1/20230222_10-K_edgar_data_1026214_0001026214-23-000037.txt
1026214,2024,10-K,20240214_10-K_edgar_data_1026214_0001026214-24-000025.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2024/QTR1/20240214_10-K_edgar_data_1026214_0001026214-24-000025.txt
1038357,2021,10-K,20210301_10-K_edgar_data_1038357_0001038357-21-000016.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2021/QTR1/20210301_10-K_edgar_data_1038357_0001038357-21-000016.txt
1038357,2022,10-K,20220222_10-K_edgar_data_1038357_0001038357-22-000039.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2022/QTR1/20220222_10-K_edgar_data_1038357_0001038357-22-000039.txt
1038357,2023,10-K,20230223_10-K_edgar_data_1038357_0001038357-23-000039.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2023/QTR1/20230223_10-K_edgar_data_1038357_0001038357-23-000039.txt
1038357,2024,10-K,20240222_10-K_edgar_data_1038357_0001038357-24-000020.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2024/QTR1/20240222_10-K_edgar_data_1038357_0001038357-24-000020.txt
1076930,2021,10-K,20210301_10-K_edgar_data_1076930_0001564590-21-009673.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2021/QTR1/20210301_10-K_edgar_data_1076930_0001564590-21-009673.txt
1076930,2022,10-K,20220301_10-K_edgar_data_1076930_0001564590-22-007880.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2022/QTR1/20220301_10-K_edgar_data_1076930_0001564590-22-007880.txt
1076930,2023,10-K,20230301_10-K_edgar_data_1076930_0000950170-23-005365.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2023/QTR1/20230301_10-K_edgar_data_1076930_0000950170-23-005365.txt
1076930,2024,10-K,20240228_10-K_edgar_data_1076930_0000950170-24-021689.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2024/QTR1/20240228_10-K_edgar_data_1076930_0000950170-24-021689.txt
1083490,2021,10-K,20210430_10-K_edgar_data_1083490_0001104659-21-058970.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2021/QTR2/20210430_10-K_edgar_data_1083490_0001104659-21-058970.txt
1083490,2022,10-K,20220419_10-K_edgar_data_1083490_0001410578-22-000970.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2022/QTR2/20220419_10-K_edgar_data_1083490_0001410578-22-000970.txt
1083490,2023,10-K,20230426_10-K_edgar_data_1083490_0001410578-23-000806.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2023/QTR2/20230426_10-K_edgar_data_1083490_0001410578-23-000806.txt
1083490,2024,10-K,20240605_10-K_edgar_data_1083490_0001410578-24-000987.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2024/QTR2/20240605_10-K_edgar_data_1083490_0001410578-24-000987.txt
1084267,2021,10-K,20210331_10-K_edgar_data_1084267_0001683168-21-001154.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2021/QTR1/20210331_10-K_edgar_data_1084267_0001683168-21-001154.txt
1084267,2022,10-K,20220330_10-K_edgar_data_1084267_0001683168-22-002082.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2022/QTR1/20220330_10-K_edgar_data_1084267_0001683168-22-002082.txt
1084267,2023,10-K,20230331_10-K_edgar_data_1084267_0001683168-23-002071.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2023/QTR1/20230331_10-K_edgar_data_1084267_0001683168-23-002071.txt
1084267,2024,10-K,20240408_10-K_edgar_data_1084267_0001683168-24-002214.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2024/QTR2/20240408_10-K_edgar_data_1084267_0001683168-24-002214.txt
1086222,2021,10-K,20210226_10-K_edgar_data_1086222_0001086222-21-000075.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2021/QTR1/20210226_10-K_edgar_data_1086222_0001086222-21-000075.txt
