cik,name,alias,alias_clean,alias_source
0000903651,INNODATA INC,INNODATA ISOGEN INC,innodata isogen,input_alias
0000906107,EQUITY RESIDENTIAL,EQUITY RESIDENTIAL PROPERTIES TRUST,equity residential properties trust,input_alias
0000906465,QCR HOLDINGS INC,QUAD CITY HOLDINGS INC,quad city,input_alias
0000906553,BOYD GAMING CORP,BOYD GROUP,boyd,input_alias
0000906709,NEKTAR THERAPEUTICS,INHALE THERAPEUTIC SYSTEMS,inhale therapeutic systems,input_alias
0000906709,NEKTAR THERAPEUTICS,INHALE THERAPEUTIC SYSTEMS INC,inhale therapeutic systems,input_alias
0000907471,"PATHWARD FINANCIAL, INC.",FIRST MIDWEST FINANCIAL INC,first midwest financial,input_alias
0000907471,"PATHWARD FINANCIAL, INC.",META FINANCIAL GROUP INC,meta financial,input_alias
0000907654,"Oruka Therapeutics, Inc.","ARCA biopharma, Inc.",arca biopharma,input_alias
0000907654,"Oruka Therapeutics, Inc.",HYSEQ INC,hyseq,input_alias
0000907654,"Oruka Therapeutics, Inc.",NUVELO INC,nuvelo,input_alias
0000908255,BORGWARNER INC,BORG WARNER AUTOMOTIVE INC,borg warner automotive,input_alias
0000908259,"Oncotelic Therapeutics, Inc.",MATEON THERAPEUTICS INC,mateon therapeutics,input_alias
0000908259,"Oncotelic Therapeutics, Inc.",OXIGENE INC,oxigene,input_alias
0000908311,Creative Media & Community Trust Corp,CIM Commercial Trust Corp,cim commercial trust,input_alias
0000908311,Creative Media & Community Trust Corp,PMC COMMERCIAL TRUST /TX,pmc commercial trust tx,input_alias
0000908315,WINMARK CORP,GROW BIZ INTERNATIONAL INC,grow biz international,input_alias
0000908937,SIRIUS XM HOLDINGS INC.,CD RADIO INC,cd radio,input_alias
0000908937,SIRIUS XM HOLDINGS INC.,SIRIUS SATELLITE RADIO INC,sirius satellite radio,input_alias
0000908937,SIRIUS XM HOLDINGS INC.,SIRIUS XM RADIO INC.,sirius xm radio,input_alias
0000909108,DIAMOND HILL INVESTMENT GROUP INC,BANC STOCK GROUP INC,banc stock,input_alias
0000909108,DIAMOND HILL INVESTMENT GROUP INC,HEARTLAND FINANCIAL GROUP INC,heartland financial,input_alias
0000909108,DIAMOND HILL INVESTMENT GROUP INC,HEARTLAND GROUP OF COMPANIES INC,heartland group of companies,input_alias
0000909494,TUCOWS INC /PA/,INFONAUTICS CORP,infonautics,input_alias
0000909494,TUCOWS INC /PA/,INFONAUTICS INC,infonautics,input_alias
0000909724,TANDY LEATHER FACTORY INC,LEATHER FACTORY INC,leather factory,input_alias
0000909832,COSTCO WHOLESALE CORP /NEW,COSTCO COMPANIES INC,costco companies,input_alias
0000909832,COSTCO WHOLESALE CORP /NEW,PRICE/COSTCO INC,pricecostco,input_alias
0000910073,"FLAGSTAR FINANCIAL, INC.",NEW YORK COMMUNITY BANCORP INC,new york community bancorp,input_alias
0000910073,"FLAGSTAR FINANCIAL, INC.","NEW YORK COMMUNITY BANCORP, INC.",new york community bancorp,input_alias
0000910073,"FLAGSTAR FINANCIAL, INC.",QUEENS COUNTY BANCORP INC,queens county bancorp,input_alias
0000910108,LXP Industrial Trust,LEXINGTON CORPORATE PROPERTIES INC,lexington corporate properties,input_alias
0000910108,LXP Industrial Trust,LEXINGTON CORPORATE PROPERTIES TRUST,lexington corporate properties trust,input_alias
0000910108,LXP Industrial Trust,LEXINGTON REALTY TRUST,lexington realty trust,input_alias
0000910329,MEDIFAST INC,00,00,input_alias
0000910329,MEDIFAST INC,HEALTHRITE INC,healthrite,input_alias
0000910329,MEDIFAST INC,XX,xx,input_alias
0000910406,HAIN CELESTIAL GROUP INC,21ST CENTURY FOOD PRODUCTS CORP,21st century food products,input_alias
0000910406,HAIN CELESTIAL GROUP INC,HAIN FOOD GROUP INC,hain food,input_alias
0000910406,HAIN CELESTIAL GROUP INC,KINERET ACQUISITION CORP,kineret acquisition,input_alias
0000910521,DECKERS OUTDOOR CORP,DECKERS FOOTWEAR CORP,deckers footwear,input_alias
0000910606,REGENCY CENTERS CORP,REGENCY REALTY CORP,regency realty,input_alias
0000910638,3D SYSTEMS CORP,3 D SYSTEMS CORP,3 d systems,input_alias
0000911147,CENTURY CASINOS INC /CO/,ALPINE GAMING INC,alpine gaming,input_alias
0000911147,CENTURY CASINOS INC /CO/,CENTURY CASINOS INC,century casinos,input_alias
0000911216,PALATIN TECHNOLOGIES INC,INTERFILM INC,interfilm,input_alias
0000912093,VIAVI SOLUTIONS INC.,JDS UNIPHASE CORP /CA/,jds uniphase corp ca,input_alias
0000912463,GUESS INC,GUESS INC ET AL/CA/,guess inc et alca,input_alias
