cik,years_present,annual_filing_count,year_2021_present,year_2022_present,year_2023_present,year_2024_present,years_present_count
0000019617,"2021,2022,2023,2024",4,True,True,True,True,4
0000019745,"2021,2022,2023,2024",5,True,True,True,True,4
0000019871,"2021,2022,2023,2024",4,True,True,True,True,4
0000020212,"2021,2022,2023,2024",4,True,True,True,True,4
0000020286,"2021,2022,2023,2024",4,True,True,True,True,4
0000020290,"2021,2022,2023,2024",4,True,True,True,True,4
0000020520,"2021,2022,2023,2024",5,True,True,True,True,4
0000020639,"2021,2022,2023,2024",4,True,True,True,True,4
0000020947,"2021,2022,2023,2024",4,True,True,True,True,4
0000021076,"2021,2022,2023,2024",4,True,True,True,True,4
0000021175,"2021,2022,2023,2024",4,True,True,True,True,4
0000021344,"2021,2022,2023,2024",4,True,True,True,True,4
0000021510,2021,3,True,False,False,False,1
0000021535,"2021,2022,2023,2024",4,True,True,True,True,4
0000021665,"2021,2022,2023,2024",4,True,True,True,True,4
0000022356,"2021,2022,2023,2024",4,True,True,True,True,4
0000022444,"2021,2022,2023,2024",4,True,True,True,True,4
0000022606,"2021,2022,2023,2024",4,True,True,True,True,4
0000022701,"2021,2022,2023,2024",7,True,True,True,True,4
0000022767,"2021,2022,2023,2024",4,True,True,True,True,4
0000023111,"2021,2022,2023",3,True,True,True,False,3
0000023194,"2021,2022,2023,2024",4,True,True,True,True,4
0000023197,"2021,2022,2023,2024",4,True,True,True,True,4
0000023217,"2021,2022,2023,2024",4,True,True,True,True,4
0000023426,"2021,2022,2023,2024",4,True,True,True,True,4
0000023632,"2021,2022,2023,2024",4,True,True,True,True,4
0000023795,"2021,2022,2023,2024",4,True,True,True,True,4
0000024090,"2021,2022,2023,2024",4,True,True,True,True,4
0000024491,2021,1,True,False,False,False,1
0000024545,"2021,2022,2023,2024",4,True,True,True,True,4
0000024741,"2021,2022,2023,2024",4,True,True,True,True,4
0000025232,"2021,2022,2023,2024",4,True,True,True,True,4
0000025445,"2021,2022,2023,2024",4,True,True,True,True,4
0000025475,"2021,2022,2023,2024",4,True,True,True,True,4
0000025598,"2021,2022,2023,2024",4,True,True,True,True,4
0000025743,"2021,2022,2023,2024",7,True,True,True,True,4
0000025895,"2021,2022,2023,2024",4,True,True,True,True,4
0000026058,"2021,2022,2023,2024",4,True,True,True,True,4
0000026076,2021,1,True,False,False,False,1
0000026172,"2021,2022,2023,2024",4,True,True,True,True,4
0000026324,"2021,2022,2023,2024",4,True,True,True,True,4
0000026780,"2021,2022,2023,2024",4,True,True,True,True,4
0000027093,"2021,2022,2023,2024",7,True,True,True,True,4
0000027419,"2021,2022,2023,2024",4,True,True,True,True,4
0000027430,"2021,2022,2023,2024",4,True,True,True,True,4
0000027673,"2021,2022,2023,2024",4,True,True,True,True,4
0000027879,"2021,2022,2023,2024",4,True,True,True,True,4
0000027904,"2021,2022,2023,2024",4,True,True,True,True,4
0000027996,"2021,2022,2023,2024",4,True,True,True,True,4
0000028385,"2021,2022,2023,2024",4,True,True,True,True,4
0000028412,"2021,2022,2023,2024",4,True,True,True,True,4
0000028823,"2021,2022,2023,2024",4,True,True,True,True,4
0000028917,"2021,2022,2023,2024",4,True,True,True,True,4
0000029002,"2021,2022,2023,2024",4,True,True,True,True,4
0000029332,"2021,2022,2023,2024",4,True,True,True,True,4
0000029534,"2021,2022,2023,2024",4,True,True,True,True,4
0000029644,"2021,2022,2023,2024",4,True,True,True,True,4
0000029669,"2021,2022",3,True,True,False,False,2
0000029905,"2021,2022,2023,2024",4,True,True,True,True,4
0000029915,"2021,2022,2023,2024",4,True,True,True,True,4
0000029952,"2022,2023,2024",3,False,True,True,True,3
0000029989,"2021,2022,2023,2024",4,True,True,True,True,4
0000030305,"2021,2022,2023,2024",4,True,True,True,True,4
0000030371,"2021,2022,2023,2024",7,True,True,True,True,4
0000030554,"2021,2022,2023,2024",4,True,True,True,True,4
0000030625,"2021,2022,2023,2024",4,True,True,True,True,4
