filing_id,source_filename,source_path,filing_date,filing_year,form_type,cik,accession_number,gvkey,ticker_comp,issuer_name,sic
0d94df6326219fc8,20210310_10-K_edgar_data_1576169_0001564590-21-011839_classified.csv,data/processed/sec/20210310_10-K_edgar_data_1576169_0001564590-21-011839_classified.csv,20210310,2021,10-K,0001576169,0001564590-21-011839,,,,
a1f133cba5c49a37,20210317_10-K_edgar_data_774569_0001437749-21-006324_classified.csv,data/processed/sec/20210317_10-K_edgar_data_774569_0001437749-21-006324_classified.csv,20210317,2021,10-K,0000774569,0001437749-21-006324,,,,
5e9fd11d7b7c5488,20210430_10-K-A_edgar_data_1576169_0001193125-21-145439_classified.csv,data/processed/sec/20210430_10-K-A_edgar_data_1576169_0001193125-21-145439_classified.csv,20210430,2021,10-K-A,0001576169,0001193125-21-145439,,,,
75cb30ca4db26c72,20220304_10-K_edgar_data_1576169_0001564590-22-008597_classified.csv,data/processed/sec/20220304_10-K_edgar_data_1576169_0001564590-22-008597_classified.csv,20220304,2022,10-K,0001576169,0001564590-22-008597,,,,
b57457275083cb84,20220502_10-K-A_edgar_data_1576169_0001193125-22-136767_classified.csv,data/processed/sec/20220502_10-K-A_edgar_data_1576169_0001193125-22-136767_classified.csv,20220502,2022,10-K-A,0001576169,0001193125-22-136767,,,,
