model_id,dependent,term,coef,se,t_stat,p_value,nobs,covariance,sample_flag
car_m1_p1_yearfe_core_hc3,car_m1_p1,const,-0.011875930143628501,0.08805420738432206,-0.13487067224164231,0.8933292171870502,54,hc3,sample_car_core
car_m1_p1_yearfe_core_hc3,car_m1_p1,share_actionable,0.00428398377460807,0.058652317106605505,0.07304031598311062,0.9421050658107636,54,hc3,sample_car_core
car_m1_p1_yearfe_core_hc3,car_m1_p1,share_speculative,-0.1306201946230617,0.14802504068925537,-0.8824195826250023,0.3823455606812143,54,hc3,sample_car_core
car_m1_p1_yearfe_core_hc3,car_m1_p1,ln_assets,0.0005872637152715257,0.007651550643766866,0.07675094142517694,0.9391696211559519,54,hc3,sample_car_core
car_m1_p1_yearfe_core_hc3,car_m1_p1,leverage,0.0002852700850572885,0.053692535712698074,0.005313030596724513,0.9957848511184412,54,hc3,sample_car_core
car_m1_p1_yearfe_core_hc3,car_m1_p1,cash,-0.02980064590556001,0.0919510822212658,-0.3240923889710123,0.747403733754102,54,hc3,sample_car_core
car_m1_p1_yearfe_core_hc3,car_m1_p1,roa,0.0443314069355932,0.11424452792658331,0.3880396526657433,0.6998577759034031,54,hc3,sample_car_core
car_m1_p1_yearfe_core_hc3,car_m1_p1,year_2022,0.03581782221031445,0.03338781658824168,1.0727812079490264,0.28921797183696324,54,hc3,sample_car_core
car_m1_p1_yearfe_core_hc3,car_m1_p1,year_2023,0.054125325418294554,0.03598278539392064,1.50420054550416,0.13967457366588726,54,hc3,sample_car_core
car_m1_p1_yearfe_core_hc3,car_m1_p1,year_2024,0.09074746360246151,0.04579974660133066,1.9813966306928201,0.05381690795820191,54,hc3,sample_car_core
car_m1_p1_post_core_hc3,car_m1_p1,const,0.013423603427555022,0.09009257574540849,0.14899788707882677,0.8822361223191043,54,hc3,sample_car_core
car_m1_p1_post_core_hc3,car_m1_p1,share_actionable,-0.017024455003955778,0.07109090979595233,-0.23947442862695073,0.8118497850037553,54,hc3,sample_car_core
car_m1_p1_post_core_hc3,car_m1_p1,share_speculative,-0.20434217446167388,0.21151200367903467,-0.9661020221422475,0.33927344964221656,54,hc3,sample_car_core
car_m1_p1_post_core_hc3,car_m1_p1,post_chatgpt,0.04127959803340696,0.0378659108452292,1.0901519892689404,0.281580591311255,54,hc3,sample_car_core
car_m1_p1_post_core_hc3,car_m1_p1,share_actionable_x_post_chatgpt,0.0670126227414483,0.17387116694614393,0.3854153849568701,0.7017867340429196,54,hc3,sample_car_core
car_m1_p1_post_core_hc3,car_m1_p1,share_speculative_x_post_chatgpt,0.09688040000095113,0.28157243914812813,0.34406918622452537,0.7324332155010949,54,hc3,sample_car_core
car_m1_p1_post_core_hc3,car_m1_p1,ln_assets,0.0009195366940506645,0.0073880872511704315,0.12446207831465311,0.901516306887619,54,hc3,sample_car_core
car_m1_p1_post_core_hc3,car_m1_p1,leverage,-0.0081908421079829,0.05274665293112022,-0.1552864808062608,0.8773056755734557,54,hc3,sample_car_core
car_m1_p1_post_core_hc3,car_m1_p1,cash,-0.034817279148961794,0.09372607080461023,-0.3714791290199822,0.7120635898905744,54,hc3,sample_car_core
car_m1_p1_post_core_hc3,car_m1_p1,roa,0.03846080755988439,0.12053142550484423,0.31909360898032874,0.7511655279819133,54,hc3,sample_car_core
car_m1_p1_post_extended_hc3,car_m1_p1,const,-0.026018322430111148,0.11730433057558762,-0.2218018917327666,0.8260226378356288,42,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,share_actionable,0.015066138886551565,0.09982196402617872,0.15093009873659075,0.8810758387238453,42,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,share_speculative,-0.35124259003424574,0.2448511794729732,-1.4345145928652392,0.16212219274051887,42,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,post_chatgpt,0.11949134627589032,0.06622003078527107,1.8044592377699118,0.08155500032918174,42,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,share_actionable_x_post_chatgpt,-0.1683040245041941,0.23294304536208152,-0.7225114801885845,0.47576671955614447,42,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,share_speculative_x_post_chatgpt,0.16508177120663906,0.3736163776669288,0.441848326450523,0.6618764133448249,42,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,ln_assets,-0.005783859423677737,0.010244581185894946,-0.5645774403780539,0.5767025173164362,42,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,leverage,0.06711946951645911,0.08561350729770796,0.7839822433983619,0.4394073911316908,42,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,cash,-0.004195468030278751,0.14407846713352043,-0.02911932722320488,0.9769688972183007,42,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,roa,0.26417622728134776,0.17484414777993942,1.5109240465619849,0.1416286972677768,42,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,rd_intensity,-0.18505816799556118,0.36544590198015076,-0.5063900484116324,0.6164112971644236,42,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,capx_at,1.1808159285984694,0.5771732204986801,2.045860560852493,0.049933906423586506,42,hc3,sample_car_extended
car_m1_p1_post_extended_hc3,car_m1_p1,sales_growth,0.004357038733265108,0.02638551319907725,0.1651299597772266,0.8699874152478322,42,hc3,sample_car_extended
